name,user,html_url,id,node_id,description,stars,forks,prs,language,api_url,created_at,updated_at,pushed_at,license
eladmin,elunez,https://github.com/elunez/eladmin,161757837,MDEwOlJlcG9zaXRvcnkxNjE3NTc4Mzc=,项目基于 Spring Boot 2.1.0 、 Jpa、 Spring Security、redis、Vue的前后端分离的后台管理系统，项目采用分模块开发方式， 权限控制采用 RBAC，支持数据字典与数据权限管理，支持一键生成前后端代码，支持动态路由,19405,6991,159,Java,https://api.github.com/repos/elunez/eladmin,2018-12-14T08:54:24Z,2023-03-11T13:50:17Z,2023-02-17T10:06:49Z,Apache License 2.0
DoKit,didi,https://github.com/didi/DoKit,144705602,MDEwOlJlcG9zaXRvcnkxNDQ3MDU2MDI=,一款面向泛前端产品研发全生命周期的效率平台。,19345,2996,444,Java,https://api.github.com/repos/didi/DoKit,2018-08-14T10:32:07Z,2023-03-11T14:07:08Z,2023-03-02T05:58:26Z,Apache License 2.0
rocketmq,apache,https://github.com/apache/rocketmq,75164823,MDEwOlJlcG9zaXRvcnk3NTE2NDgyMw==,"Apache RocketMQ is a cloud native messaging and streaming platform, making it simple to build event-driven applications.",18864,10632,3105,Java,https://api.github.com/repos/apache/rocketmq,2016-11-30T08:00:08Z,2023-03-11T14:11:05Z,2023-03-11T13:31:16Z,Apache License 2.0
FizzBuzzEnterpriseEdition,EnterpriseQualityCoding,https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,6834703,MDEwOlJlcG9zaXRvcnk2ODM0NzAz,FizzBuzz Enterprise Edition is a no-nonsense implementation of FizzBuzz made by serious businessmen for serious business purposes.,18713,732,129,Java,https://api.github.com/repos/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,2012-11-24T00:14:41Z,2023-03-11T07:44:10Z,2022-11-10T20:36:08Z,NO LICENSE
PhotoView,Baseflow,https://github.com/Baseflow/PhotoView,5084750,MDEwOlJlcG9zaXRvcnk1MDg0NzUw,"Implementation of ImageView for Android that supports zooming, by various touch gestures.",18452,3919,153,Java,https://api.github.com/repos/Baseflow/PhotoView,2012-07-17T16:39:00Z,2023-03-11T02:13:37Z,2022-03-25T09:53:49Z,Apache License 2.0
GSYVideoPlayer,CarGuo,https://github.com/CarGuo/GSYVideoPlayer,73614722,MDEwOlJlcG9zaXRvcnk3MzYxNDcyMg==,"视频播放器（IJKplayer、ExoPlayer、MediaPlayer），HTTPS，支持弹幕，外挂字幕，支持滤镜、水印、gif截图，片头广告、中间广告，多个同时播放，支持基本的拖动，声音、亮度调节，支持边播边缓存，支持视频自带rotation的旋转（90,270之类），重力旋转与手动旋转的同步支持，支持列表播放 ，列表全屏动画，视频加载速度，列表小窗口支持拖动，动画效果，调整比例，多分辨率切换，支持切换播放器，进度条小窗口预览，列表切换详情页面无缝播放，rtsp、concat、mpeg。 ",18324,4001,55,Java,https://api.github.com/repos/CarGuo/GSYVideoPlayer,2016-11-13T12:34:31Z,2023-03-11T10:00:23Z,2023-03-02T09:53:49Z,Apache License 2.0
graal,oracle,https://github.com/oracle/graal,49662222,MDEwOlJlcG9zaXRvcnk0OTY2MjIyMg==,GraalVM: Run Programs Faster Anywhere :rocket:,18303,1470,2562,Java,https://api.github.com/repos/oracle/graal,2016-01-14T17:11:35Z,2023-03-11T11:35:36Z,2023-03-11T13:28:00Z,Other
mybatis-3,mybatis,https://github.com/mybatis/mybatis-3,8205602,MDEwOlJlcG9zaXRvcnk4MjA1NjAy,MyBatis SQL mapper framework for Java,18253,12149,1597,Java,https://api.github.com/repos/mybatis/mybatis-3,2013-02-14T19:03:32Z,2023-03-11T14:13:05Z,2023-03-11T05:47:11Z,Apache License 2.0
shardingsphere,apache,https://github.com/apache/shardingsphere,49876476,MDEwOlJlcG9zaXRvcnk0OTg3NjQ3Ng==,"Ecosystem to transform any database into a distributed database system, and enhance it with sharding, elastic scaling, encryption features & more",18064,6217,15521,Java,https://api.github.com/repos/apache/shardingsphere,2016-01-18T12:49:26Z,2023-03-11T13:05:08Z,2023-03-11T14:59:10Z,Apache License 2.0
HikariCP,brettwooldridge,https://github.com/brettwooldridge/HikariCP,13404515,MDEwOlJlcG9zaXRvcnkxMzQwNDUxNQ==,"光 HikariCP・A solid, high-performance, JDBC connection pool at last.",17934,2701,394,Java,https://api.github.com/repos/brettwooldridge/HikariCP,2013-10-08T05:43:03Z,2023-03-11T14:25:27Z,2023-03-03T22:49:35Z,Apache License 2.0
litemall,linlinjava,https://github.com/linlinjava/litemall,126365965,MDEwOlJlcG9zaXRvcnkxMjYzNjU5NjU=,又一个小商城。litemall = Spring Boot后端 + Vue管理员前端 + 微信小程序用户前端 + Vue用户移动端,17785,6932,171,Java,https://api.github.com/repos/linlinjava/litemall,2018-03-22T16:42:30Z,2023-03-11T13:50:20Z,2023-03-02T00:24:22Z,MIT License
cat,dianping,https://github.com/dianping/cat,7010724,MDEwOlJlcG9zaXRvcnk3MDEwNzI0,"CAT 作为服务端项目基础组件，提供了 Java, C/C++, Node.js, Python, Go 等多语言客户端，已经在美团点评的基础架构中间件框架（MVC框架，RPC框架，数据库框架，缓存框架等，消息队列，配置系统等）深度集成，为美团点评各业务线提供系统丰富的性能指标、健康状况、实时告警等。",17585,5313,1068,Java,https://api.github.com/repos/dianping/cat,2012-12-05T02:31:48Z,2023-03-11T12:53:44Z,2023-03-08T17:27:56Z,Apache License 2.0
Mindustry,Anuken,https://github.com/Anuken/Mindustry,89822531,MDEwOlJlcG9zaXRvcnk4OTgyMjUzMQ==,The automation tower defense RTS,17314,2409,4648,Java,https://api.github.com/repos/Anuken/Mindustry,2017-04-30T01:24:29Z,2023-03-11T14:11:28Z,2023-03-10T21:50:59Z,GNU General Public License v3.0
SpringCloudLearning,forezp,https://github.com/forezp/SpringCloudLearning,87624870,MDEwOlJlcG9zaXRvcnk4NzYyNDg3MA==,《史上最简单的Spring Cloud教程源码》,17166,8074,13,Java,https://api.github.com/repos/forezp/SpringCloudLearning,2017-04-08T10:06:56Z,2023-03-11T13:50:22Z,2021-04-12T09:53:47Z,NO LICENSE
fresco,facebook,https://github.com/facebook/fresco,31533997,MDEwOlJlcG9zaXRvcnkzMTUzMzk5Nw==,An Android library for managing images and the memory they use.,16920,3783,412,Java,https://api.github.com/repos/facebook/fresco,2015-03-02T09:58:04Z,2023-03-10T21:49:44Z,2023-03-08T23:55:56Z,MIT License
Android-Universal-Image-Loader,nostra13,https://github.com/nostra13/Android-Universal-Image-Loader,2862290,MDEwOlJlcG9zaXRvcnkyODYyMjkw,"Powerful and flexible library for loading, caching and displaying images on Android.",16813,6221,152,Java,https://api.github.com/repos/nostra13/Android-Universal-Image-Loader,2011-11-27T18:48:23Z,2023-03-10T14:41:22Z,2022-01-17T09:48:53Z,Apache License 2.0
tinker,Tencent,https://github.com/Tencent/tinker,67481986,MDEwOlJlcG9zaXRvcnk2NzQ4MTk4Ng==,"Tinker is a hot-fix solution library for Android, it supports dex, library and resources update without reinstall apk.",16701,3332,151,Java,https://api.github.com/repos/Tencent/tinker,2016-09-06T06:57:52Z,2023-03-11T13:18:02Z,2023-02-22T08:43:34Z,Other
zheng,shuzheng,https://github.com/shuzheng/zheng,69953445,MDEwOlJlcG9zaXRvcnk2OTk1MzQ0NQ==,基于Spring+SpringMVC+Mybatis分布式敏捷开发系统架构，提供整套公共微服务服务模块：集中权限管理（单点登录）、内容管理、支付中心、用户管理（支持第三方登录）、微信平台、存储系统、配置中心、日志分析、任务和通知等，支持服务治理、监控和追踪，努力为中小型企业打造全方位J2EE企业级开发解决方案。,16450,7458,135,Java,https://api.github.com/repos/shuzheng/zheng,2016-10-04T10:07:06Z,2023-03-10T18:45:00Z,2022-12-16T09:53:00Z,MIT License
SpringBoot-Labs,yudaocode,https://github.com/yudaocode/SpringBoot-Labs,148496687,MDEwOlJlcG9zaXRvcnkxNDg0OTY2ODc=,一个涵盖六个专栏：Spring Boot 2.X、Spring Cloud、Spring Cloud Alibaba、Dubbo、分布式消息队列、分布式事务的仓库。希望胖友小手一抖，右上角来个 Star，感恩 1024,16249,5313,29,Java,https://api.github.com/repos/yudaocode/SpringBoot-Labs,2018-09-12T14:51:46Z,2023-03-11T13:50:24Z,2022-09-03T08:55:18Z,NO LICENSE
java8-tutorial,winterbe,https://github.com/winterbe/java8-tutorial,17804584,MDEwOlJlcG9zaXRvcnkxNzgwNDU4NA==,Modern Java - A Guide to Java 8,16193,3962,47,Java,https://api.github.com/repos/winterbe/java8-tutorial,2014-03-16T17:25:43Z,2023-03-11T13:32:28Z,2023-01-11T14:16:18Z,MIT License
zipkin,openzipkin,https://github.com/openzipkin/zipkin,4576305,MDEwOlJlcG9zaXRvcnk0NTc2MzA1,Zipkin is a distributed tracing system,16050,3044,2179,Java,https://api.github.com/repos/openzipkin/zipkin,2012-06-06T18:26:16Z,2023-03-11T02:48:54Z,2023-03-09T15:55:16Z,Apache License 2.0
